virus_name	category	accessions	total_genome_size_bp	num_segments	family	notes
Zaire ebolavirus	negative_strand_RNA	NC_002549	18959	1	Filoviridae	BSL-4; select agent
Sudan ebolavirus	negative_strand_RNA	NC_006432	18875	1	Filoviridae	BSL-4; select agent
Bundibugyo ebolavirus	negative_strand_RNA	NC_014373	18940	1	Filoviridae	BSL-4
Reston ebolavirus	negative_strand_RNA	NC_004161	18891	1	Filoviridae	less pathogenic to humans
Tai Forest ebolavirus	negative_strand_RNA	NC_014372	18935	1	Filoviridae	BSL-4
Marburg marburgvirus	negative_strand_RNA	NC_001608	19111	1	Filoviridae	BSL-4; select agent
Lassa virus	negative_strand_RNA	NC_004296,NC_004297	10681	2	Arenaviridae	BSL-4; select agent
Junin virus	negative_strand_RNA	NC_005081,NC_005080	10527	2	Arenaviridae	Argentine HF; select agent
Machupo virus	negative_strand_RNA	NC_005078,NC_005079	10684	2	Arenaviridae	Bolivian HF; select agent
Guanarito virus	negative_strand_RNA	NC_005077,NC_005076	10483	2	Arenaviridae	Venezuelan HF; select agent
Sabia virus	negative_strand_RNA	NC_006317,NC_006313	10520	2	Arenaviridae	Brazilian HF; select agent
Chapare virus	negative_strand_RNA	NC_010562,NC_010563	10415	2	Arenaviridae	select agent
Lujo virus	negative_strand_RNA	NC_012776,NC_012777	10333	2	Arenaviridae	BSL-4; select agent
Crimean-Congo hemorrhagic fever virus	negative_strand_RNA	NC_005300,NC_005301,NC_005302	19146	3	Nairoviridae	BSL-4; select agent
Rift Valley fever virus	negative_strand_RNA	NC_014395,NC_014396,NC_014397	11979	3	Phenuiviridae	select agent
Hantaan virus	negative_strand_RNA	NC_005218,NC_005219,NC_005222	11845	3	Hantaviridae	HFRS
Sin Nombre virus	negative_strand_RNA	NC_005215,NC_005216,NC_005217	11954	3	Hantaviridae	HPS
Seoul virus	negative_strand_RNA	NC_005236,NC_005237,NC_005238	11950	3	Hantaviridae	HFRS
Nipah virus	negative_strand_RNA	NC_002728	18246	1	Paramyxoviridae	BSL-4; select agent
Hendra virus	negative_strand_RNA	NC_001906	18234	1	Paramyxoviridae	BSL-4; select agent
Measles virus	negative_strand_RNA	NC_001498	15894	1	Paramyxoviridae	vaccine-preventable
Mumps virus	negative_strand_RNA	NC_002200	15384	1	Paramyxoviridae	vaccine-preventable
Human parainfluenza virus 1	negative_strand_RNA	NC_003461	15600	1	Paramyxoviridae	croup
Human parainfluenza virus 2	negative_strand_RNA	NC_003443	15654	1	Paramyxoviridae	croup
Human parainfluenza virus 3	negative_strand_RNA	NC_001796	15462	1	Paramyxoviridae	bronchiolitis
Human parainfluenza virus 4a	negative_strand_RNA	NC_021928	17052	1	Paramyxoviridae	respiratory
Human respiratory syncytial virus A	negative_strand_RNA	NC_038235	15225	1	Pneumoviridae	major pediatric pathogen
Human respiratory syncytial virus B	negative_strand_RNA	NC_001781	15225	1	Pneumoviridae	major pediatric pathogen
Human metapneumovirus	negative_strand_RNA	NC_039199	13335	1	Pneumoviridae	respiratory
Rabies virus	negative_strand_RNA	NC_001542	11932	1	Rhabdoviridae	~100% fatal without PEP
Influenza A virus	negative_strand_RNA	NC_026438,NC_026435,NC_026437,NC_026433,NC_026436,NC_026434,NC_026431,NC_026432	13600	8	Orthomyxoviridae	pandemic potential
Influenza B virus	negative_strand_RNA	NC_002204,NC_002205,NC_002206,NC_002207,NC_002208,NC_002209,NC_002210,NC_002211	16635	8	Orthomyxoviridae	seasonal flu
Puumala virus	negative_strand_RNA	NC_005223,NC_005224,NC_005225	11845	3	Hantaviridae	nephropathia epidemica
Dobrava-Belgrade virus	negative_strand_RNA	NC_005233,NC_005234,NC_005235	11873	3	Hantaviridae	severe HFRS
Andes virus	negative_strand_RNA	NC_003466,NC_003467,NC_003468	11916	3	Hantaviridae	HPS; person-to-person
Lymphocytic choriomeningitis virus	negative_strand_RNA	NC_004291,NC_004294	10056	2	Arenaviridae	congenital/immunosuppressed
Dengue virus 1	positive_strand_RNA	NC_001477	10735	1	Flaviviridae	arbovirus
Dengue virus 2	positive_strand_RNA	NC_001474	10723	1	Flaviviridae	arbovirus
Dengue virus 3	positive_strand_RNA	NC_001475	10707	1	Flaviviridae	arbovirus
Dengue virus 4	positive_strand_RNA	NC_002640	10649	1	Flaviviridae	arbovirus
Zika virus	positive_strand_RNA	NC_012532	10794	1	Flaviviridae	microcephaly
Yellow fever virus	positive_strand_RNA	NC_002031	10862	1	Flaviviridae	vaccine-preventable
