sequence_id,model_type,split,perplexity
Zaire_ebolavirus category=negative_strand_RNA accessions=NC_002549 length=18959 coding_length=18959,Pretrained,Train,3.8673654540249434
Sudan_ebolavirus category=negative_strand_RNA accessions=NC_006432 length=18875 coding_length=18875,Pretrained,Train,3.864578635050806
Bundibugyo_ebolavirus category=negative_strand_RNA accessions=NC_014373 length=18940 coding_length=18940,Pretrained,Train,3.885513773135181
Reston_ebolavirus category=negative_strand_RNA accessions=NC_004161 length=18891 coding_length=18891,Pretrained,Train,3.8708643782509355
Tai_Forest_ebolavirus category=negative_strand_RNA accessions=NC_014372 length=18935 coding_length=18935,Pretrained,Train,3.8573005479496585
Marburg_marburgvirus category=negative_strand_RNA accessions=NC_001608 length=19112 coding_length=19112,Pretrained,Train,3.8370754284148454
"Lassa_virus category=negative_strand_RNA accessions=NC_004296,NC_004297 length=10781 coding_length=10681",Pretrained,Train,3.8478246153905955
"Machupo_virus category=negative_strand_RNA accessions=NC_005078,NC_005079 length=10735 coding_length=10635",Pretrained,Train,3.8060374979074734
"Sabia_virus category=negative_strand_RNA accessions=NC_006317,NC_006313 length=10599 coding_length=10499",Pretrained,Train,3.7491929148088703
"Chapare_virus category=negative_strand_RNA accessions=NC_010562,NC_010563 length=10564 coding_length=10464",Pretrained,Train,3.7897134561380073
"Lujo_virus category=negative_strand_RNA accessions=NC_012776,NC_012777 length=10452 coding_length=10352",Pretrained,Train,3.805991672965704
"Crimean-Congo_hemorrhagic_fever_virus category=negative_strand_RNA accessions=NC_005300,NC_005301,NC_005302 length=19346 coding_length=19146",Pretrained,Train,3.7699636089886828
"Rift_Valley_fever_virus category=negative_strand_RNA accessions=NC_014395,NC_014396,NC_014397 length=12179 coding_length=11979",Pretrained,Train,3.8067893779626805
"Hantaan_virus category=negative_strand_RNA accessions=NC_005218,NC_005219,NC_005222 length=12045 coding_length=11845",Pretrained,Train,3.7125410323369468
"Seoul_virus category=negative_strand_RNA accessions=NC_005236,NC_005237,NC_005238 length=12150 coding_length=11950",Pretrained,Train,3.793256076729799
Nipah_virus category=negative_strand_RNA accessions=NC_002728 length=18246 coding_length=18246,Pretrained,Train,3.831777648793613
Hendra_virus category=negative_strand_RNA accessions=NC_001906 length=18234 coding_length=18234,Pretrained,Train,3.8392451037050708
Measles_virus category=negative_strand_RNA accessions=NC_001498 length=15894 coding_length=15894,Pretrained,Train,3.9026919560735043
Human_parainfluenza_virus_1 category=negative_strand_RNA accessions=NC_003461 length=15600 coding_length=15600,Pretrained,Train,3.7759275601035647
Human_parainfluenza_virus_2 category=negative_strand_RNA accessions=NC_003443 length=15646 coding_length=15646,Pretrained,Train,3.8287339395416913
Human_parainfluenza_virus_3 category=negative_strand_RNA accessions=NC_001796 length=15462 coding_length=15462,Pretrained,Train,3.712064858225146
Human_parainfluenza_virus_4a category=negative_strand_RNA accessions=NC_021928 length=17052 coding_length=17052,Pretrained,Train,3.7812143824529825
Human_respiratory_syncytial_virus_A category=negative_strand_RNA accessions=NC_038235 length=15222 coding_length=15222,Pretrained,Train,3.720892401708782
Human_respiratory_syncytial_virus_B category=negative_strand_RNA accessions=NC_001781 length=15225 coding_length=15225,Pretrained,Train,3.7311995756799727
Human_metapneumovirus category=negative_strand_RNA accessions=NC_039199 length=13350 coding_length=13350,Pretrained,Train,3.7164368003225565
Rabies_virus category=negative_strand_RNA accessions=NC_001542 length=11932 coding_length=11932,Pretrained,Train,3.911455216761159
"Influenza_A_virus category=negative_strand_RNA accessions=NC_026438,NC_026435,NC_026437,NC_026433,NC_026436,NC_026434,NC_026431,NC_026432 length=13858 coding_length=13158",Pretrained,Train,3.74574904763078
