sequence_id,model_type,split,perplexity
Zaire_ebolavirus category=negative_strand_RNA accessions=NC_002549 length=18959 coding_length=18959,Pretrained,Train,3.7738813934170814
Sudan_ebolavirus category=negative_strand_RNA accessions=NC_006432 length=18875 coding_length=18875,Pretrained,Train,3.7705465448971256
Bundibugyo_ebolavirus category=negative_strand_RNA accessions=NC_014373 length=18940 coding_length=18940,Pretrained,Train,3.7819775891712175
Reston_ebolavirus category=negative_strand_RNA accessions=NC_004161 length=18891 coding_length=18891,Pretrained,Train,3.775020665860672
Tai_Forest_ebolavirus category=negative_strand_RNA accessions=NC_014372 length=18935 coding_length=18935,Pretrained,Train,3.765105872149796
Marburg_marburgvirus category=negative_strand_RNA accessions=NC_001608 length=19112 coding_length=19112,Pretrained,Train,3.726390455063145
"Lassa_virus category=negative_strand_RNA accessions=NC_004296,NC_004297 length=10781 coding_length=10681",Pretrained,Train,3.6402474966977993
"Machupo_virus category=negative_strand_RNA accessions=NC_005078,NC_005079 length=10735 coding_length=10635",Pretrained,Train,3.632265914075992
"Sabia_virus category=negative_strand_RNA accessions=NC_006317,NC_006313 length=10599 coding_length=10499",Pretrained,Train,3.616965705121464
"Chapare_virus category=negative_strand_RNA accessions=NC_010562,NC_010563 length=10564 coding_length=10464",Pretrained,Train,3.6068855183237134
"Lujo_virus category=negative_strand_RNA accessions=NC_012776,NC_012777 length=10452 coding_length=10352",Pretrained,Train,3.64525830648932
"Crimean-Congo_hemorrhagic_fever_virus category=negative_strand_RNA accessions=NC_005300,NC_005301,NC_005302 length=19346 coding_length=19146",Pretrained,Train,3.641349465853276
"Rift_Valley_fever_virus category=negative_strand_RNA accessions=NC_014395,NC_014396,NC_014397 length=12179 coding_length=11979",Pretrained,Train,3.618601525154826
"Hantaan_virus category=negative_strand_RNA accessions=NC_005218,NC_005219,NC_005222 length=12045 coding_length=11845",Pretrained,Train,3.586750338706337
"Seoul_virus category=negative_strand_RNA accessions=NC_005236,NC_005237,NC_005238 length=12150 coding_length=11950",Pretrained,Train,3.573633750229376
Nipah_virus category=negative_strand_RNA accessions=NC_002728 length=18246 coding_length=18246,Pretrained,Train,3.698088367095668
Hendra_virus category=negative_strand_RNA accessions=NC_001906 length=18234 coding_length=18234,Pretrained,Train,3.708963256260382
Measles_virus category=negative_strand_RNA accessions=NC_001498 length=15894 coding_length=15894,Pretrained,Train,3.7593803946246274
Human_parainfluenza_virus_1 category=negative_strand_RNA accessions=NC_003461 length=15600 coding_length=15600,Pretrained,Train,3.5987600015629515
Human_parainfluenza_virus_2 category=negative_strand_RNA accessions=NC_003443 length=15646 coding_length=15646,Pretrained,Train,3.6619448103280567
Human_parainfluenza_virus_3 category=negative_strand_RNA accessions=NC_001796 length=15462 coding_length=15462,Pretrained,Train,3.5206458807653407
Human_parainfluenza_virus_4a category=negative_strand_RNA accessions=NC_021928 length=17052 coding_length=17052,Pretrained,Train,3.61834961330824
Human_respiratory_syncytial_virus_A category=negative_strand_RNA accessions=NC_038235 length=15222 coding_length=15222,Pretrained,Train,3.4908489490008066
Human_respiratory_syncytial_virus_B category=negative_strand_RNA accessions=NC_001781 length=15225 coding_length=15225,Pretrained,Train,3.506415206194146
Human_metapneumovirus category=negative_strand_RNA accessions=NC_039199 length=13350 coding_length=13350,Pretrained,Train,3.5347408941416725
Rabies_virus category=negative_strand_RNA accessions=NC_001542 length=11932 coding_length=11932,Pretrained,Train,3.78320905239704
"Influenza_A_virus category=negative_strand_RNA accessions=NC_026438,NC_026435,NC_026437,NC_026433,NC_026436,NC_026434,NC_026431,NC_026432 length=13858 coding_length=13158",Pretrained,Train,3.4994153143208173
"Influenza_B_virus category=negative_strand_RNA accessions=NC_002204,NC_002205,NC_002206,NC_002207,NC_002208,NC_002209,NC_002210,NC_002211 length=15152 coding_length=14452",Pretrained,Train,3.4277739735604618
"Puumala_virus category=negative_strand_RNA accessions=NC_005223,NC_005224,NC_005225 length=12262 coding_length=12062",Pretrained,Train,3.529514247296921
"Dobrava-Belgrade_virus category=negative_strand_RNA accessions=NC_005233,NC_005234,NC_005235 length=12040 coding_length=11840",Pretrained,Train,3.5815701763482863
"Andes_virus category=negative_strand_RNA accessions=NC_003466,NC_003467,NC_003468 length=12304 coding_length=12104",Pretrained,Train,3.5794112816236154
"Lymphocytic_choriomeningitis_virus category=negative_strand_RNA accessions=NC_004291,NC_004294 length=10156 coding_length=10056",Pretrained,Train,3.640826433787409
Dengue_virus_2 category=positive_strand_RNA accessions=NC_001474 length=10723 coding_length=10723,Pretrained,Train,3.641368565541412
Dengue_virus_3 category=positive_strand_RNA accessions=NC_001475 length=10707 coding_length=10707,Pretrained,Train,3.667660490850843
Dengue_virus_4 category=positive_strand_RNA accessions=NC_002640 length=10649 coding_length=10649,Pretrained,Train,3.6639228607831296
Zika_virus category=positive_strand_RNA accessions=NC_012532 length=10794 coding_length=10794,Pretrained,Train,3.684061292176888
Yellow_fever_virus category=positive_strand_RNA accessions=NC_002031 length=10862 coding_length=10862,Pretrained,Train,3.6430397419203486
West_Nile_virus category=positive_strand_RNA accessions=NC_009942 length=11029 coding_length=11029,Pretrained,Train,3.7035800977942497
Japanese_encephalitis_virus category=positive_strand_RNA accessions=NC_001437 length=10976 coding_length=10976,Pretrained,Train,3.713551555732123
Tick-borne_encephalitis_virus category=positive_strand_RNA accessions=NC_001672 length=11141 coding_length=11141,Pretrained,Train,3.6606725235962414
St._Louis_encephalitis_virus category=positive_strand_RNA accessions=NC_007580 length=10940 coding_length=10940,Pretrained,Train,3.654870136253745
Murray_Valley_encephalitis_virus category=positive_strand_RNA accessions=NC_000943 length=11014 coding_length=11014,Pretrained,Train,3.6909971054305433
Powassan_virus category=positive_strand_RNA accessions=NC_003687 length=10839 coding_length=10839,Pretrained,Train,3.694107463299048
Kyasanur_Forest_disease_virus category=positive_strand_RNA accessions=NC_004355 length=10685 coding_length=10685,Pretrained,Train,3.7070793219539726
Omsk_hemorrhagic_fever_virus category=positive_strand_RNA accessions=NC_005062 length=10787 coding_length=10787,Pretrained,Train,3.698607720722464
Hepatitis_C_virus category=positive_strand_RNA accessions=NC_004102 length=9646 coding_length=9646,Pretrained,Train,3.6824551427006114
Venezuelan_equine_encephalitis_virus category=positive_strand_RNA accessions=NC_001449 length=11444 coding_length=11444,Pretrained,Train,3.720092740062954
Western_equine_encephalitis_virus category=positive_strand_RNA accessions=NC_003908 length=11484 coding_length=11484,Pretrained,Train,3.75172701895148
Ross_River_virus category=positive_strand_RNA accessions=NC_001544 length=11657 coding_length=11657,Pretrained,Train,3.80791361807404
Sindbis_virus category=positive_strand_RNA accessions=NC_001547 length=11703 coding_length=11703,Pretrained,Train,3.747565964386904
Rubella_virus category=positive_strand_RNA accessions=NC_001545 length=9762 coding_length=9762,Pretrained,Train,3.3857538924649417
SARS-CoV category=positive_strand_RNA accessions=NC_004718 length=29751 coding_length=29751,Pretrained,Train,3.580459407980697
MERS-CoV category=positive_strand_RNA accessions=NC_019843 length=30119 coding_length=30119,Pretrained,Train,3.620889376696096
Human_coronavirus_229E category=positive_strand_RNA accessions=NC_002645 length=27317 coding_length=27317,Pretrained,Train,3.502236889007831
Human_coronavirus_OC43 category=positive_strand_RNA accessions=NC_006213 length=30741 coding_length=30741,Pretrained,Train,3.489086202153731
Human_coronavirus_NL63 category=positive_strand_RNA accessions=NC_005831 length=27553 coding_length=27553,Pretrained,Train,3.343739866139916
Human_coronavirus_HKU1 category=positive_strand_RNA accessions=NC_006577 length=29926 coding_length=29926,Pretrained,Train,3.25619325766081
Enterovirus_A71 category=positive_strand_RNA accessions=NC_001612 length=7413 coding_length=7413,Pretrained,Train,3.7645973757599953
Enterovirus_D68 category=positive_strand_RNA accessions=NC_038308 length=7367 coding_length=7367,Pretrained,Train,3.669327549195169
Poliovirus_1 category=positive_strand_RNA accessions=NC_002058 length=7440 coding_length=7440,Pretrained,Train,3.733347657521864
Rhinovirus_B category=positive_strand_RNA accessions=NC_038312 length=7208 coding_length=7208,Pretrained,Train,3.627667770676104
O'nyong-nyong_virus category=positive_strand_RNA accessions=NC_001512 length=11835 coding_length=11835,Pretrained,Train,3.72818420423576
Mayaro_virus category=positive_strand_RNA accessions=NC_003417 length=11411 coding_length=11411,Pretrained,Train,3.785279228512964
Hepatitis_D_virus category=positive_strand_RNA accessions=NC_001653 length=1682 coding_length=1682,Pretrained,Train,3.636853410904725
Human_T-lymphotropic_virus_1 category=positive_strand_RNA accessions=NC_001436 length=8507 coding_length=8507,Pretrained,Train,3.3677591560706897
Human_T-lymphotropic_virus_2 category=positive_strand_RNA accessions=NC_001488 length=8952 coding_length=8952,Pretrained,Train,3.357890300624497
Human_immunodeficiency_virus_2 category=positive_strand_RNA accessions=NC_001722 length=10359 coding_length=10359,Pretrained,Train,3.394347617514447
Variola_major_virus category=large_DNA accessions=NC_001611 length=185578 coding_length=185578,Pretrained,Train,3.393652521009924
Monkeypox_virus category=large_DNA accessions=NC_003310 length=196858 coding_length=196858,Pretrained,Train,3.399170276084332
Vaccinia_virus category=large_DNA accessions=NC_006998 length=194711 coding_length=194711,Pretrained,Train,3.2917186891031363
